Jahr,Monat,Sentiment Score
2000,1,-0.005353744615047797
2000,2,0.001621863950330906
2000,3,-0.0063451361583412805
2000,4,-0.002987363585544979
2000,5,-0.0019920841387774794
2000,6,-0.005514485231591628
2000,7,-0.008268493091429394
2000,9,-0.008146527029186395
2000,10,-0.009392482042167916
2000,11,-0.003340803745378573
2000,12,-0.006503786570443876
2001,1,-0.0029432418422098276
2001,2,-0.004895154189416307
2001,3,-0.003560133931392522
2001,4,0.004330419121600412
2001,5,-0.0009331755367394404
2001,6,0.00048487385551886634
2001,7,-0.001072108234009713
2001,8,-0.003180185499848211
2001,9,-0.002138207819129425
2001,10,-0.0002021665447561532
2001,11,-0.0008590021981728619
2001,12,0.0020205874175300534
2002,1,0.00034657937960445666
2002,2,-0.0014976231371190332
2002,3,-0.0024040677202113395
2002,4,-0.0001667802558162332
2002,5,-0.00018586858605610588
2002,6,0.0004912049049058981
2002,7,-0.00361006182728553
2002,8,-0.002890088186193051
2002,9,-0.0011746131933647382
2002,10,-0.002101468336789079
2002,11,-0.007233750422827965
2002,12,-0.0010047681406908993
2003,1,-0.006867791896173726
2003,2,-0.0005562924372860496
2003,3,-0.0010260779736783504
2003,4,0.0030713472424370456
2003,5,0.002849621967900046
2003,6,-0.0011114403812760051
2003,7,-0.0004580571136629054
2003,9,-0.0017564239194025081
2003,10,-0.0008143677975325688
2003,11,-0.0016724814723010145
2003,12,-0.0004999836904784692
2004,1,0.002750043544339982
2004,2,-0.0009629608665541938
2004,3,0.0014132120899671486
2004,4,-0.002337609030958541
2004,5,-0.0032317850424138164
2004,6,0.011505333214211422
2004,7,0.0016721619751316895
2004,9,-0.0008762388306175298
2004,10,-0.0022906525771432024
2004,11,-0.0009059261412554553
2004,12,-0.001143997961952963
2005,1,-0.0047500946732563516
2005,2,6.751492053842918e-05
2005,3,0.0014254909104880371
2005,4,-0.0009047905827860514
2005,5,-0.007833298872075324
2005,6,-0.0029963174223678448
2005,7,-0.0014308971793966499
2005,9,-0.00055005500550055
2005,11,-0.0025553646203660993
2005,12,-0.0021289547903114527
2006,1,-0.004824503328163468
2006,2,0.0005098348684643309
2006,3,-0.0015341964833075763
2006,4,-0.0022267760759477353
2006,5,-0.007033218109277254
2006,6,-0.004954565265895917
2006,9,-0.00430181709873762
2006,10,-0.003655624429805264
2006,11,-0.002548951051539967
2006,12,-0.01419071369176694
2007,1,-6.125714299090483e-05
2007,2,-0.0026215681775486077
2007,3,0.0006839740661542649
2007,4,-0.0038583158863893866
2007,5,0.003391314766699329
2007,6,0.003132545933143646
2007,7,-0.0008696199873019707
2007,9,-0.0010979061530444279
2007,10,0.00440289379144872
2007,11,0.001440806488182943
2007,12,-0.00108933367370703
2008,1,0.0022664617242393547
2008,2,0.0019776370329908557
2008,3,0.006223442707317388
2008,4,0.00163397464443155
2008,5,-0.0010331707823235479
2008,6,-8.402444305015592e-05
2008,9,0.002297866411850874
2008,10,0.003634405121167165
2008,11,0.0060491839089679925
2008,12,0.006973884150122591
2009,1,0.010782408258650147
2009,2,0.009016365583109549
2009,3,0.0048299802841298345
2009,4,0.005481573947142067
2009,5,0.005566594515810786
2009,6,0.008307058000047045
2009,7,0.0037209661939163917
2009,11,0.014906177216566915
2009,12,0.0015707343094098008
2010,1,0.004022822218492806
2010,2,0.0062083101213484945
2010,3,0.0020246014721739002
2010,4,0.006093812475728128
2010,5,-0.0005361524026928847
2010,6,-0.0013264004821460407
2010,7,-0.000658584098394803
2010,9,-0.002059980040332679
2010,10,0.0025616210814850254
2010,11,-0.0010544697920266417
2010,12,0.0022420986858638346
2011,1,0.003024537419673371
2011,2,0.0030893726830755436
2011,3,0.0017428657800636785
2011,4,0.0034561911181568857
2011,5,0.0027444206406545993
2011,6,0.0010040469229352176
2011,7,-0.0005297063767973729
2011,9,-0.00043941391178342165
2011,10,0.005763706626282907
2011,11,5.5703126214777994e-05
2011,12,0.00037494273914285653
2012,1,-0.0043060205890462265
2012,2,-0.00738914194629998
2012,3,-0.0028424865514631165
2012,4,0.0036979510483369665
2012,5,-0.0026253768594471528
2012,6,-0.005445251498754185
2012,7,-0.0012899285265858768
2012,9,-0.0009143342835079576
2012,10,0.003757635861075978
2012,11,0.0007063823520595709
2012,12,0.002600830492020142
2013,1,0.0017227257428834612
2013,2,-0.0005685304783311051
2013,3,8.799860902753872e-05
2013,4,0.0010855929071885543
2013,5,-0.0017931636322799517
2013,6,0.0014994763766513954
2013,9,8.188892272522617e-05
2013,11,-0.00265385166272525
2013,12,-0.0031862320263431497
