Jahr,Monat,Sentiment Score
2010,4,0.008501076558057373
2010,5,-0.004690738421531378
2010,6,-0.003692792777904828
2010,7,-0.0016893777004515023
2010,8,0.0017927685382669385
2010,9,-0.002236511105853292
2010,10,-0.0019614365249863265
2010,11,0.005609600356544703
2010,12,0.0019679283532174196
2011,1,0.0063195646817219234
2011,2,0.004072244269146975
2011,3,0.004293502031024977
2011,4,0.0012913312178211736
2011,5,0.00322767008670829
2011,6,0.01427634209652918
2011,7,0.014668409445120965
2011,8,0.0012341717619914296
2011,9,0.0026573169083604978
2011,10,0.007916648777384778
2011,11,0.004012257829726278
2011,12,0.0008957817464345562
2012,1,-0.003441249975496593
2012,2,0.002943703575141388
2012,3,-0.0019077057403040882
2012,4,-0.0025510419466577288
2012,5,-0.0045307402792470666
2012,6,-0.005722385053278752
2012,7,-0.0012871699272285243
2012,8,-0.0017837871778635058
2012,9,-0.0010193317030769223
2012,10,0.0026623955506906794
2012,11,0.0016530031187552046
2012,12,9.001997829622195e-05
2013,1,5.238975616121581e-05
2013,2,0.003846454084539915
2013,3,-0.0036085765612869697
2013,4,-0.0022844012134664014
2013,5,-0.004124475663372045
2013,6,-0.0003246953234349863
2013,7,-0.001682667443694378
2013,8,-0.0014530560152596081
2013,9,-0.0089158613191952
2013,10,-0.009547665264969177
2013,11,-0.0019477775651158462
2013,12,0.002128281814658808
2014,1,-0.006073372486434268
2014,2,0.001997524424143842
2014,3,0.0032340355564145747
2014,4,-0.00048154223264740265
2014,5,0.0017886367939191543
2014,6,-0.00422083967970581
2014,7,0.0004694999623319401
2014,8,0.0026017386501140786
2014,9,0.002531799878320834
2014,10,0.004827631441758096
2014,11,0.0017202495068429943
2014,12,0.00031114966732345787
2015,1,0.0007138365608188869
2015,2,0.001281426126809922
2015,3,0.003181265445268526
2015,4,0.004063123670041895
2015,5,0.00994993419591475
2015,6,0.0020873325545069034
2015,7,0.001840524742355286
2015,8,0.004657122663779453
2015,9,0.0029599112782746793
2015,10,0.0030667684884880097
2015,11,0.0049223714507573915
2015,12,0.0015774294641569726
2016,1,0.0023587987690470292
2016,2,0.00029065581106948356
2016,3,0.0007946548463821283
2016,4,0.0015970955204570151
2016,5,0.004907506939716654
2016,6,0.0012055105227244864
2016,7,0.008049058288316601
2016,8,0.015692272573825616
2016,9,0.008596702245488903
2016,10,0.008880089262350782
2016,11,0.002656374936693348
2016,12,0.00845708187550074
2017,1,0.0042096890888484026
2017,2,0.0031239523929713076
2017,3,0.0023761285267881933
2017,4,0.008389076554126573
2017,5,0.01101124964764169
2017,6,0.0049130166666887165
2017,7,0.010207977332458663
2017,8,0.009498301104323923
2017,9,0.004058931442532253
2017,10,0.0060257323608070385
2017,11,0.01381063197850457
2017,12,0.005872235514939814
2018,1,0.00942833874341244
2018,2,0.004456335346709042
2018,3,0.00565677065113586
2018,4,0.005413136659330167
2018,5,0.009655618246448849
